Wavelength,Absorbance
200,-0.020
201,0.022
202,0.012
203,0.017
204,0.011
205,0.005
206,0.003
207,0.004
208,0.003
209,0.001
210,0.001
211,0.001
212,0.002
213,0.001
214,0.001
215,0.001
216,0.001
217,0.001
218,0.001
219,0.001
220,0.001
221,0.001
222,0.000
223,0.001
224,0.000
225,0.001
226,0.000
227,0.001
228,0.000
229,0.000
230,0.000
231,0.001
232,0.001
233,0.001
234,0.001
235,0.000
236,0.001
237,0.001
238,0.001
239,0.001
240,0.001
241,0.001
242,0.001
243,0.001
244,0.001
245,0.001
246,0.000
247,0.000
248,0.001
249,0.001
250,0.000
251,0.001
252,0.001
253,0.001
254,0.001
255,0.001
256,0.000
257,0.000
258,0.001
259,0.001
260,0.001
261,0.000
262,0.000
263,0.000
264,0.000
265,0.000
266,0.001
267,0.001
268,0.001
269,0.001
270,0.001
271,0.001
272,0.000
273,0.000
274,0.000
275,0.000
276,0.000
277,0.000
278,0.000
279,0.000
280,0.001
281,0.001
282,0.000
283,0.000
284,0.000
285,0.001
286,0.001
287,0.000
288,0.000
289,0.001
290,0.001
291,0.001
292,0.000
293,0.000
294,0.000
295,0.001
296,0.001
297,0.001
298,0.001
299,0.000
300,0.001
301,0.001
302,0.000
303,0.000
304,0.000
305,0.001
306,0.001
307,0.001
308,0.001
309,0.001
310,0.001
311,0.000
312,0.001
313,0.001
314,0.001
315,0.001
316,0.001
317,0.001
318,0.001
319,0.001
320,0.001
321,0.001
322,0.001
323,0.001
324,0.001
325,0.001
326,0.001
327,0.001
328,0.000
329,0.000
330,0.001
331,0.001
332,0.001
333,0.001
334,0.001
335,0.001
336,0.001
337,0.001
338,0.001
339,0.001
340,0.001
341,0.001
342,0.001
343,0.001
344,0.001
345,0.001
346,0.001
347,0.001
348,0.001
349,0.000
350,0.000
351,0.000
352,0.000
353,0.001
354,0.001
355,0.001
356,0.000
357,0.000
358,0.000
359,0.000
360,0.000
361,0.000
362,0.001
363,0.001
364,0.001
365,0.001
366,0.000
367,0.000
368,0.001
369,0.001
370,0.000
371,0.001
372,0.001
373,0.001
374,0.001
375,0.001
376,0.001
377,0.000
378,0.000
379,0.000
380,0.000
381,0.001
382,0.001
383,0.001
384,0.001
385,0.001
386,0.001
387,0.000
388,0.001
389,0.001
390,0.001
391,0.001
392,0.001
393,0.001
394,0.001
395,0.000
396,0.000
397,0.000
398,0.001
399,0.001
400,0.001
401,0.001
402,0.001
403,0.001
404,0.001
405,0.001
406,0.001
407,0.001
408,0.001
409,0.001
410,0.000
411,0.000
412,0.001
413,0.001
414,0.001
415,0.000
416,0.001
417,0.001
418,0.000
419,0.001
420,0.001
421,0.001
422,0.001
423,0.001
424,0.001
425,0.001
426,0.001
427,0.001
428,0.001
429,0.000
430,0.000
431,0.000
432,0.000
433,0.000
434,0.000
435,0.001
436,0.000
437,0.001
438,0.001
439,0.000
440,0.000
441,0.000
442,0.000
443,0.000
444,0.001
445,0.000
446,0.000
447,0.000
448,0.000
449,0.000
450,0.000
451,0.000
452,0.000
453,0.001
454,0.001
455,0.001
456,0.000
457,0.001
458,0.001
459,0.001
460,0.001
461,0.001
462,0.000
463,0.000
464,0.000
465,0.000
466,0.000
467,0.000
468,0.000
469,0.000
470,0.001
471,0.001
472,0.001
473,0.001
474,0.001
475,0.001
476,0.001
477,0.001
478,0.000
479,0.000
480,0.000
481,0.001
482,0.001
483,0.000
484,0.000
485,0.000
486,0.000
487,0.000
488,0.000
489,0.001
490,0.000
491,0.000
492,0.000
493,0.000
494,0.000
495,0.000
496,0.000
497,0.001
498,0.001
499,0.001
500,0.001
501,0.001
502,0.001
503,0.001
504,0.001
505,0.001
506,0.000
507,0.000
508,0.000
509,0.001
510,0.001
511,0.001
512,0.001
513,0.001
514,0.001
515,0.000
516,0.000
517,0.000
518,0.000
519,0.000
520,0.000
521,0.001
522,0.001
523,0.001
524,0.001
525,0.001
526,0.001
527,0.001
528,0.000
529,0.000
530,0.000
531,0.000
532,0.000
533,0.000
534,0.001
535,0.001
536,0.001
537,0.001
538,0.001
539,0.001
540,0.000
541,0.000
542,0.001
543,0.001
544,0.001
545,0.001
546,0.001
547,0.001
548,0.001
549,0.001
550,0.001
551,0.001
552,0.001
553,0.000
554,0.000
555,0.001
556,0.001
557,0.001
558,0.001
559,0.000
560,0.000
