Wavelength,Absorbance
200,0.413
201,0.549
202,0.682
203,0.841
204,0.930
205,1.036
206,1.092
207,1.113
208,1.119
209,1.086
210,1.053
211,1.007
212,0.970
213,0.917
214,0.855
215,0.785
216,0.716
217,0.648
218,0.585
219,0.526
220,0.470
221,0.423
222,0.383
223,0.351
224,0.324
225,0.303
226,0.287
227,0.275
228,0.264
229,0.256
230,0.250
231,0.247
232,0.244
233,0.241
234,0.241
235,0.241
236,0.244
237,0.247
238,0.253
239,0.260
240,0.269
241,0.279
242,0.288
243,0.299
244,0.313
245,0.330
246,0.346
247,0.360
248,0.375
249,0.392
250,0.411
251,0.429
252,0.445
253,0.459
254,0.471
255,0.483
256,0.494
257,0.502
258,0.508
259,0.511
260,0.511
261,0.508
262,0.504
263,0.496
264,0.484
265,0.470
266,0.453
267,0.434
268,0.413
269,0.388
270,0.361
271,0.333
272,0.307
273,0.281
274,0.255
275,0.231
276,0.207
277,0.186
278,0.166
279,0.146
280,0.129
281,0.113
282,0.099
283,0.087
284,0.077
285,0.069
286,0.064
287,0.060
288,0.057
289,0.056
290,0.055
291,0.055
292,0.056
293,0.057
294,0.059
295,0.060
296,0.062
297,0.065
298,0.067
299,0.070
300,0.073
301,0.077
302,0.081
303,0.085
304,0.089
305,0.092
306,0.096
307,0.101
308,0.105
309,0.109
310,0.114
311,0.118
312,0.123
313,0.128
314,0.133
315,0.138
316,0.143
317,0.147
318,0.152
319,0.157
320,0.161
321,0.165
322,0.170
323,0.174
324,0.177
325,0.181
326,0.184
327,0.188
328,0.192
329,0.196
330,0.200
331,0.203
332,0.205
333,0.206
334,0.208
335,0.210
336,0.211
337,0.211
338,0.212
339,0.212
340,0.212
341,0.211
342,0.210
343,0.209
344,0.208
345,0.206
346,0.204
347,0.202
348,0.200
349,0.197
350,0.193
351,0.189
352,0.184
353,0.180
354,0.177
355,0.172
356,0.168
357,0.162
358,0.157
359,0.152
360,0.146
361,0.140
362,0.135
363,0.130
364,0.124
365,0.118
366,0.113
367,0.107
368,0.102
369,0.096
370,0.091
371,0.085
372,0.080
373,0.075
374,0.070
375,0.065
376,0.061
377,0.056
378,0.052
379,0.048
380,0.044
381,0.040
382,0.036
383,0.033
384,0.030
385,0.027
386,0.024
387,0.022
388,0.020
389,0.018
390,0.016
391,0.014
392,0.013
393,0.012
394,0.011
395,0.009
396,0.008
397,0.007
398,0.007
399,0.006
400,0.005
401,0.004
402,0.004
403,0.003
404,0.003
405,0.003
406,0.003
407,0.002
408,0.002
409,0.001
410,0.001
411,0.001
412,0.002
413,0.001
414,0.001
415,0.001
416,0.002
417,0.001
418,0.001
419,0.001
420,0.001
421,0.001
422,0.001
423,0.001
424,0.000
425,0.001
426,0.000
427,0.001
428,0.001
429,0.001
430,0.001
431,0.001
432,0.001
433,0.001
434,0.001
435,0.001
436,0.001
437,0.001
438,0.000
439,0.000
440,0.000
441,0.001
442,0.001
443,0.001
444,0.001
445,0.001
446,0.000
447,0.000
448,0.000
449,0.000
450,0.001
451,0.001
452,0.001
453,0.001
454,0.001
455,0.001
456,0.001
457,0.001
458,0.000
459,0.000
460,0.000
461,0.001
462,0.001
463,0.001
464,0.001
465,0.001
466,0.001
467,0.001
468,0.001
469,0.001
470,0.001
471,0.001
472,0.001
473,0.001
474,0.002
475,0.001
476,0.001
477,0.001
478,0.001
479,0.001
480,0.001
481,0.001
482,0.001
483,0.001
484,0.001
485,0.000
486,0.001
487,0.001
488,0.001
489,0.000
490,0.001
491,0.001
492,0.001
493,0.001
494,0.001
495,0.001
496,0.000
497,0.000
498,0.001
499,0.001
500,0.001
501,0.001
502,0.001
503,0.001
504,0.001
505,0.001
506,0.001
507,0.001
508,0.001
509,0.001
510,0.001
511,0.001
512,0.001
513,0.001
514,0.001
515,0.001
516,0.001
517,0.001
518,0.001
519,0.000
520,0.000
521,0.001
522,0.001
523,0.001
524,0.001
525,0.001
526,0.001
527,0.000
528,0.000
529,0.000
530,0.000
531,0.001
532,0.001
533,0.000
534,0.000
535,0.000
536,0.001
537,0.001
538,0.001
539,0.001
540,0.000
541,0.000
542,0.000
543,0.000
544,0.001
545,0.001
546,0.001
547,0.001
548,0.000
549,0.000
550,0.001
551,0.001
552,0.001
553,0.000
554,0.001
555,0.001
556,0.001
557,0.001
558,0.001
559,0.001
560,0.001
561,0.000
562,0.001
563,0.001
564,0.001
565,0.001
566,0.001
567,0.001
568,0.001
569,0.001
570,0.001
571,0.001
572,0.001
573,0.001
574,0.001
575,0.001
576,0.001
577,0.000
578,0.000
579,0.000
580,0.001
581,0.001
582,0.001
583,0.001
584,0.001
585,0.000
586,0.001
587,0.001
588,0.001
589,0.001
590,0.000
591,0.000
592,0.000
593,0.000
594,0.000
595,0.000
596,0.001
597,0.001
598,0.001
599,0.000
600,0.000
601,0.000
602,0.001
603,0.000
604,0.001
605,0.001
606,0.001
607,0.001
608,0.001
609,0.001
610,0.001
611,0.002
612,0.002
613,0.001
614,0.002
615,0.001
616,0.001
617,0.001
618,0.001
619,0.001
620,0.001
621,0.001
622,0.001
623,0.001
624,0.001
625,0.001
626,0.001
627,0.001
628,0.001
629,0.001
630,0.001
631,0.001
632,0.001
633,0.001
634,0.000
635,0.000
636,0.000
637,0.000
638,0.000
639,0.000
640,0.001
641,0.001
642,0.001
643,0.000
644,0.000
645,0.000
646,0.000
647,0.000
648,-0.001
649,0.000
650,0.000
651,0.000
652,0.001
653,0.001
654,0.001
655,0.000
656,0.000
657,0.000
658,0.000
659,0.000
660,0.000
661,0.001
662,0.001
663,0.002
664,0.002
665,0.001
666,0.000
667,-0.001
668,0.000
669,0.000
670,0.000
671,0.001
672,0.001
673,0.002
674,0.001
675,0.001
676,0.001
677,0.001
678,0.001
679,-0.001
680,-0.001
681,0.000
682,0.000
683,0.001
684,0.001
685,0.001
686,0.001
687,0.001
688,0.000
689,0.000
690,0.000
691,0.000
692,0.000
693,0.000
694,0.000
695,0.000
696,0.000
697,0.000
698,0.001
699,0.000
700,0.001
701,0.001
702,0.001
703,0.000
704,0.000
705,-0.001
706,0.000
707,0.000
708,0.001
709,0.001
710,0.001
711,0.001
712,0.001
713,0.000
714,0.000
715,0.000
716,0.000
717,0.001
718,0.000
719,0.000
720,0.000
721,0.001
722,0.001
723,0.001
724,0.000
725,-0.001
726,-0.001
727,0.000
728,0.000
729,0.000
730,0.000
731,0.000
732,0.000
733,0.000
734,0.000
735,0.001
736,0.000
737,0.001
738,0.000
739,0.000
740,0.000
741,0.000
742,0.000
743,-0.001
744,0.000
745,0.001
746,0.001
747,0.002
748,0.000
749,0.000
750,0.000
751,0.001
752,0.000
753,-0.001
754,-0.001
755,-0.001
756,-0.001
757,-0.001
758,-0.001
759,0.000
760,0.000
761,0.000
762,0.001
763,0.001
764,0.001
765,0.001
766,0.000
767,0.000
768,0.000
769,0.001
770,0.001
771,0.000
772,-0.001
773,-0.001
774,-0.001
775,0.000
776,0.000
777,0.001
778,0.001
779,0.000
780,-0.001
781,0.000
782,0.002
783,0.002
784,0.002
785,0.001
786,0.001
787,0.001
788,0.002
789,0.002
790,0.002
791,0.000
792,0.001
793,0.001
794,0.002
795,0.000
796,-0.001
797,0.000
798,-0.001
799,-0.002
800,-0.002
801,-0.001
802,0.001
803,0.000
804,0.001
805,0.001
806,0.000
807,-0.001
808,0.000
809,-0.002
810,-0.003
811,-0.002
812,0.001
813,0.000
814,-0.001
815,0.001
816,0.001
817,-0.002
818,-0.001
819,-0.001
820,-0.002
821,-0.001
822,0.000
823,0.000
824,0.000
825,0.000
