Cycle Nr.,Time [s],Temp. [°C],A7,A8,A9,A10,A11,A12
1,0,37.2,0.0617,0.0599,0.0563,0.0631,0.0521,0.0602
2,10.734,37.5,0.061,0.0598,0.0561,0.0629,0.0523,0.06
3,21.465,37.4,0.0613,0.0596,0.0559,0.0628,0.0534,0.06
4,32.203,37.6,0.0615,0.0629,0.056,0.0649,0.0521,0.0599
5,42.939,37.7,0.0615,0.0595,0.0564,0.0627,0.0523,0.0601
6,53.663,37.3,0.0619,0.0593,0.0561,0.0626,0.0522,0.0599
7,64.39,37.6,0.0619,0.0597,0.0562,0.0625,0.0523,0.0599
8,75.126,37.7,0.062,0.0595,0.056,0.0625,0.0522,0.06
9,85.853,37.3,0.0623,0.0599,0.0561,0.0624,0.0525,0.06
10,96.572,37.6,0.0623,0.0599,0.0563,0.0626,0.0524,0.0601
11,107.272,37.6,0.0625,0.0598,0.056,0.0626,0.0524,0.06
12,117.969,37.4,0.0623,0.0598,0.0562,0.0628,0.0524,0.06
13,128.66,37.5,0.0625,0.06,0.0563,0.0626,0.0524,0.06
14,139.355,37.6,0.0629,0.0602,0.0561,0.0625,0.0523,0.0602
15,150.057,37.5,0.0625,0.0605,0.0561,0.0626,0.0534,0.06
16,160.787,37.6,0.0627,0.0637,0.0563,0.0629,0.0522,0.06
17,171.509,37.6,0.0626,0.06,0.0562,0.0626,0.0525,0.06
18,182.215,37.6,0.063,0.0599,0.0562,0.0625,0.0523,0.0599
19,192.929,37.6,0.0629,0.0642,0.056,0.0625,0.0523,0.0602
20,203.659,37.6,0.0632,0.0606,0.0562,0.0638,0.0524,0.0599
21,214.379,37.5,0.0632,0.0601,0.0563,0.0626,0.0564,0.0599
22,225.095,37.6,0.0631,0.0608,0.0565,0.0627,0.0523,0.0599
23,235.793,37.6,0.0633,0.0603,0.0561,0.063,0.0524,0.0609
24,246.497,37.5,0.0646,0.0611,0.0563,0.0628,0.0524,0.0599
25,257.22,37.6,0.0635,0.0643,0.0561,0.0628,0.0523,0.06
26,267.923,37.6,0.0634,0.0612,0.0562,0.0627,0.0524,0.0607
27,278.629,37.5,0.0665,0.0613,0.0562,0.0626,0.0524,0.06
28,289.345,37.5,0.0635,0.0616,0.0562,0.0629,0.0556,0.06
29,300.05,37.5,0.0638,0.0611,0.0561,0.0627,0.0524,0.0601
30,310.764,37.5,0.064,0.0609,0.0564,0.0628,0.0526,0.0601
31,321.448,37.6,0.0669,0.0615,0.0563,0.063,0.0525,0.0603
32,332.14,37.4,0.0641,0.0613,0.0564,0.0629,0.0524,0.0602
33,342.86,37.5,0.0639,0.0611,0.0567,0.0632,0.0523,0.06
34,353.586,37.5,0.0644,0.0612,0.0562,0.0631,0.0576,0.06
35,364.316,37.3,0.0647,0.0615,0.0565,0.063,0.0523,0.06
36,375.035,37.5,0.0647,0.0636,0.0564,0.0636,0.0525,0.0602
37,385.762,37.6,0.0653,0.062,0.0564,0.0631,0.0525,0.0601
38,396.491,37.3,0.0646,0.0619,0.0561,0.063,0.0522,0.0601
39,407.221,37.5,0.065,0.0624,0.0565,0.0638,0.0524,0.0601
40,417.953,37.5,0.0647,0.0634,0.0565,0.0632,0.0525,0.0601
41,428.685,37.3,0.0656,0.0625,0.0568,0.0664,0.0525,0.0601
42,439.41,37.5,0.0652,0.0624,0.0564,0.0638,0.0525,0.06
43,450.146,37.5,0.0651,0.0627,0.0563,0.0633,0.0524,0.0602
44,460.878,37.3,0.065,0.0627,0.0566,0.0631,0.0524,0.0604
45,471.601,37.4,0.066,0.0629,0.0565,0.0632,0.0525,0.0608
46,482.289,37.5,0.0654,0.0629,0.0569,0.0634,0.0525,0.0604
47,492.98,37.3,0.0661,0.0653,0.0569,0.0632,0.0525,0.0606
48,503.682,37.5,0.0661,0.0629,0.0567,0.0631,0.0525,0.0605
49,514.379,37.5,0.0657,0.0629,0.0566,0.0634,0.0525,0.0603
50,525.081,37.4,0.0667,0.0634,0.0576,0.0639,0.0524,0.0601
51,535.793,37.4,0.0662,0.0634,0.0566,0.0697,0.0524,0.0602
52,546.517,37.5,0.0667,0.0638,0.0567,0.0633,0.0525,0.0607
53,557.232,37.4,0.0671,0.064,0.0569,0.0634,0.0524,0.0603
54,567.949,37.4,0.0671,0.0639,0.0565,0.0634,0.0527,0.0603
55,578.664,37.4,0.0669,0.0652,0.057,0.0633,0.0525,0.0612
56,589.379,37.3,0.0671,0.0643,0.0571,0.0633,0.0524,0.0602
57,600.099,37.3,0.0671,0.0645,0.0567,0.0634,0.0525,0.0604
58,610.808,37.3,0.0674,0.0647,0.0566,0.0654,0.0524,0.0603
59,621.499,37.3,0.0676,0.0647,0.0568,0.0635,0.0524,0.0605
60,632.186,37.3,0.0683,0.0646,0.057,0.0633,0.0525,0.0604
61,642.893,37.3,0.0685,0.0648,0.0572,0.0655,0.0525,0.0604
62,653.61,37.3,0.0679,0.065,0.0569,0.0635,0.0525,0.0614
63,664.331,37.3,0.0684,0.0652,0.057,0.0637,0.0571,0.0603
64,675.054,37.2,0.0685,0.0658,0.0573,0.0636,0.0525,0.0606
