"","idx","T1","R1","T2","R2","T3","R3","T4","R4","T5","R5","T6","R6","T7","R7","T8","R8","T9","R9","T10","R10","T11","R11","T12","R12","T13","R13","BT_ReactionMix","BR_ReactionMix","BT_RxnM_PBS_1","BR_RxnM_PBS_1","BT_RxnM_PBS_2","BR_RxnM_PBS_2","BT_PBS","BR_PBS"
"1",1,0,1.4721,0,1.4218,0,1.3839,0,1.3859,0,1.3849,0,1.4204,0,1.4281,0,1.4456,0,1.4427,0,1.4544,0,1.4508,0,1.4475,0,1.449,0,0.003,0,1.2823,0,1.4169,0,0.1319
"2",2,1.031,1.4657,1.031,1.4099,1.047,1.3708,1.031,1.374,1.032,1.373,1.031,1.4131,1.032,1.4201,1.046,1.4456,1.031,1.4413,1.047,1.4547,1.031,1.4502,1.047,1.4466,1.032,1.4487,1.047,0.0036,1.031,1.2817,1.047,1.4174,1.031,0.1319
"3",3,2.078,1.4566,2.078,1.3978,2.078,1.3572,2.078,1.3595,2.063,1.3617,2.078,1.4054,2.078,1.4166,2.078,1.439,2.078,1.439,2.078,1.4526,2.078,1.4499,2.079,1.4478,2.078,1.4481,2.078,0.0043,2.062,1.2815,2.079,1.4158,2.063,0.1318
"4",4,3.11,1.4452,3.109,1.3851,3.109,1.3419,3.11,1.3449,3.11,1.3493,3.109,1.3953,3.11,1.4112,3.109,1.4376,3.109,1.4382,3.11,1.452,3.109,1.449,3.11,1.4463,3.11,1.449,3.125,0.0044,3.109,1.2827,3.11,1.416,3.11,0.1317
"5",5,4.156,1.438,4.156,1.373,4.156,1.329,4.141,1.3307,4.141,1.3379,4.141,1.3871,4.141,1.4062,4.156,1.4337,4.141,1.4362,4.156,1.452,4.141,1.4478,4.157,1.4454,4.141,1.449,4.156,0.005,4.14,1.2837,4.141,1.4158,4.141,0.1317
"6",6,5.188,1.4297,5.187,1.3607,5.187,1.316,5.188,1.3177,5.172,1.3268,5.187,1.3794,5.188,1.4017,5.187,1.4303,5.187,1.4345,5.188,1.4514,5.172,1.4487,5.188,1.4472,5.188,1.4472,5.187,0.0054,5.171,1.2835,5.188,1.4155,5.172,0.1318
"7",7,6.219,1.4207,6.219,1.3476,6.219,1.3006,6.219,1.3038,6.219,1.3149,6.219,1.3722,6.219,1.396,6.218,1.4278,6.219,1.4334,6.219,1.4523,6.219,1.4472,6.219,1.4445,6.219,1.4481,6.234,0.0058,6.218,1.2845,6.219,1.4147,6.219,0.1318
"8",8,7.266,1.4116,7.266,1.3363,7.265,1.2877,7.25,1.2897,7.25,1.305,7.25,1.3638,7.25,1.3912,7.265,1.4256,7.25,1.4314,7.25,1.4508,7.25,1.4466,7.266,1.446,7.25,1.4466,7.265,0.0062,7.25,1.2859,7.25,1.415,7.25,0.1319
"9",9,8.297,1.4033,8.297,1.3235,8.297,1.2741,8.297,1.2764,8.282,1.2925,8.297,1.3555,8.282,1.3876,8.296,1.4223,8.297,1.4284,8.297,1.4496,8.281,1.4475,8.297,1.4457,8.297,1.4466,8.297,0.0063,8.281,1.2863,8.297,1.416,8.281,0.1317
"10",10,9.328,1.3954,9.328,1.3121,9.328,1.2604,9.328,1.2624,9.329,1.2819,9.328,1.3479,9.328,1.3811,9.328,1.4193,9.328,1.4284,9.328,1.4484,9.328,1.4463,9.329,1.4448,9.328,1.4475,9.328,0.0069,9.328,1.2861,9.329,1.415,9.328,0.1317
"11",11,10.375,1.3858,10.375,1.3006,10.375,1.2469,10.36,1.2494,10.36,1.2687,10.359,1.3403,10.36,1.3771,10.375,1.4182,10.359,1.4275,10.375,1.4496,10.359,1.4451,10.36,1.4454,10.36,1.4466,10.375,0.0072,10.359,1.2887,10.36,1.4147,10.36,0.1318
"12",12,11.406,1.3777,11.406,1.2881,11.406,1.2321,11.406,1.2358,11.391,1.2589,11.406,1.333,11.407,1.3722,11.406,1.4144,11.391,1.4275,11.406,1.4481,11.406,1.4451,11.407,1.446,11.407,1.4472,11.406,0.0075,11.39,1.2889,11.407,1.415,11.391,0.1318
"13",13,12.438,1.3672,12.437,1.2762,12.437,1.2198,12.438,1.2229,12.438,1.2476,12.437,1.3246,12.438,1.3676,12.437,1.4115,12.437,1.4248,12.438,1.446,12.437,1.4451,12.438,1.4448,12.438,1.4469,12.453,0.0076,12.437,1.2913,12.438,1.4158,12.438,0.1318
"14",14,13.485,1.3596,13.484,1.2645,13.484,1.2053,13.469,1.209,13.469,1.2365,13.469,1.3172,13.469,1.3636,13.484,1.4083,13.469,1.4231,13.485,1.4437,13.469,1.444,13.485,1.4454,13.469,1.4472,13.484,0.0079,13.468,1.2909,13.469,1.4147,13.469,0.1318
"15",15,14.516,1.352,14.516,1.2524,14.515,1.1908,14.516,1.1952,14.516,1.2253,14.516,1.31,14.516,1.3602,14.515,1.4083,14.516,1.4223,14.516,1.4443,14.516,1.4448,14.516,1.444,14.516,1.4469,14.515,0.0083,14.5,1.2925,14.516,1.4152,14.5,0.1318
"16",16,15.563,1.3438,15.562,1.24,15.547,1.1787,15.547,1.1813,15.547,1.2147,15.547,1.3023,15.547,1.3551,15.546,1.4043,15.547,1.4209,15.547,1.4448,15.547,1.4419,15.547,1.4451,15.547,1.4472,15.562,0.0087,15.546,1.2939,15.547,1.4147,15.547,0.1317
"17",17,16.594,1.336,16.594,1.2284,16.594,1.1642,16.578,1.1684,16.579,1.2034,16.594,1.2957,16.578,1.3497,16.593,1.402,16.578,1.4198,16.594,1.4431,16.578,1.4428,16.594,1.4431,16.578,1.4475,16.594,0.0089,16.578,1.2935,16.594,1.415,16.578,0.1318
"18",18,17.625,1.3264,17.625,1.216,17.625,1.1505,17.61,1.1549,17.61,1.193,17.625,1.2889,17.61,1.3463,17.625,1.3999,17.625,1.4182,17.625,1.4437,17.625,1.4443,17.625,1.4428,17.625,1.4454,17.625,0.0094,17.625,1.2949,17.625,1.4147,17.625,0.1318
"19",19,18.656,1.32,18.672,1.2057,18.656,1.1371,18.656,1.1407,18.657,1.1821,18.672,1.2819,18.657,1.3415,18.656,1.3965,18.656,1.4174,18.656,1.4431,18.656,1.4405,18.657,1.4434,18.657,1.4466,18.672,0.0096,18.656,1.2961,18.657,1.4134,18.656,0.1316
"20",20,19.688,1.3106,19.703,1.1933,19.703,1.1242,19.688,1.1269,19.688,1.1708,19.703,1.2768,19.688,1.3365,19.703,1.3953,19.687,1.4152,19.688,1.4425,19.687,1.4419,19.704,1.4437,19.688,1.4478,19.703,0.01,19.687,1.2963,19.704,1.4139,19.688,0.1317
"21",21,20.719,1.3025,20.734,1.1821,20.734,1.1112,20.735,1.1152,20.735,1.1612,20.734,1.2704,20.735,1.3327,20.734,1.394,20.734,1.4155,20.719,1.441,20.719,1.4419,20.735,1.4443,20.719,1.4469,20.75,0.0104,20.718,1.2988,20.735,1.4147,20.719,0.1318
"22",22,21.75,1.2939,21.781,1.1702,21.765,1.0972,21.766,1.1008,21.766,1.1499,21.781,1.2649,21.766,1.3288,21.765,1.3904,21.766,1.4163,21.75,1.4402,21.734,1.441,21.766,1.4419,21.766,1.4478,21.781,0.0107,21.765,1.3002,21.766,1.4144,21.766,0.1318
"23",23,22.781,1.2854,22.812,1.1594,22.812,1.0839,22.797,1.0881,22.797,1.1393,22.812,1.2589,22.797,1.3257,22.812,1.3874,22.797,1.4131,22.781,1.4402,22.766,1.4422,22.813,1.444,22.797,1.4469,22.812,0.0112,22.796,1.3002,22.813,1.4134,22.797,0.1317
"24",24,23.813,1.2788,23.844,1.1472,23.844,1.0709,23.828,1.0751,23.844,1.1295,23.859,1.2518,23.844,1.3207,23.843,1.3874,23.828,1.4118,23.813,1.4381,23.797,1.4413,23.844,1.4431,23.828,1.4448,23.859,0.0111,23.843,1.3033,23.844,1.4139,23.828,0.1317
"25",25,24.844,1.2704,24.891,1.1366,24.875,1.0584,24.875,1.0618,24.875,1.1193,24.891,1.2456,24.875,1.317,24.875,1.3859,24.875,1.4112,24.844,1.4376,24.828,1.4405,24.875,1.4428,24.875,1.4469,24.89,0.0113,24.875,1.306,24.875,1.4144,24.86,0.1316
"26",26,25.875,1.2614,25.922,1.1241,25.922,1.0445,25.906,1.0489,25.907,1.1091,25.922,1.2386,25.907,1.3119,25.906,1.3824,25.906,1.4104,25.875,1.4376,25.859,1.4402,25.907,1.444,25.907,1.4478,25.922,0.0116,25.906,1.3109,25.922,1.4139,25.906,0.1317
