Temperature for Cap.30 (°C),Ratio 350 nm / 330 nm for Cap.30 ,Temperature for Cap.30 (°C),350 nm for Cap.30 ,Temperature for Cap.30 (°C),330 nm for Cap.30 ,Temperature for Cap.31 (°C),Ratio 350 nm / 330 nm for Cap.31 ,Temperature for Cap.31 (°C),350 nm for Cap.31 ,Temperature for Cap.31 (°C),330 nm for Cap.31 ,Temperature for Cap.32 (°C),Ratio 350 nm / 330 nm for Cap.32 ,Temperature for Cap.32 (°C),350 nm for Cap.32 ,Temperature for Cap.32 (°C),330 nm for Cap.32 ,Temperature for Cap.34 (°C),Ratio 350 nm / 330 nm for Cap.34 ,Temperature for Cap.34 (°C),350 nm for Cap.34 ,Temperature for Cap.34 (°C),330 nm for Cap.34 ,Temperature for Cap.35 (°C),Ratio 350 nm / 330 nm for Cap.35 ,Temperature for Cap.35 (°C),350 nm for Cap.35 ,Temperature for Cap.35 (°C),330 nm for Cap.35 ,Temperature for Cap.36 (°C),Ratio 350 nm / 330 nm for Cap.36 ,Temperature for Cap.36 (°C),350 nm for Cap.36 ,Temperature for Cap.36 (°C),330 nm for Cap.36 
25.0039,1.0500,25.0039,1856.2003,25.0039,1767.8384,25.0039,1.0172,25.0039,4349.1294,25.0039,4275.5034,25.0040,1.0011,25.0040,7755.8062,25.0040,7747.5381,25.0041,1.0854,25.0041,885.4495,25.0041,815.7740,25.0042,1.0192,25.0042,1693.1760,25.0042,1661.3115,25.0043,0.9879,25.0043,2986.4561,25.0043,3022.8950
25.0073,1.0496,25.0073,1861.6699,25.0073,1773.6157,25.0070,1.0181,25.0070,4352.6138,25.0070,4275.0342,25.0067,1.0029,25.0067,7755.3921,25.0067,7733.0249,25.0061,1.0852,25.0061,886.0493,25.0061,816.4917,25.0058,1.0186,25.0058,1698.3424,25.0058,1667.2551,25.0055,0.9909,25.0055,2992.1016,25.0055,3019.7146
25.0502,1.0516,25.0502,1857.2808,25.0502,1766.1583,25.0508,1.0184,25.0508,4350.8999,25.0508,4272.4482,25.0513,1.0013,25.0513,7751.3721,25.0513,7741.0645,25.0525,1.0891,25.0525,886.4652,25.0525,813.9667,25.0530,1.0187,25.0530,1694.5497,25.0530,1663.4945,25.0536,0.9916,25.0536,2994.6328,25.0536,3020.1392
25.0644,1.0528,25.0644,1856.5703,25.0644,1763.3871,25.0635,1.0177,25.0635,4340.8208,25.0635,4265.3540,25.0627,1.0009,25.0627,7741.1421,25.0627,7733.8604,25.0611,1.0854,25.0611,885.2430,25.0611,815.5850,25.0602,1.0177,25.0602,1691.5884,25.0602,1662.1105,25.0594,0.9889,25.0594,2985.8901,25.0594,3019.4822
25.1553,1.0520,25.1553,1854.3650,25.1553,1762.6849,25.1564,1.0199,25.1564,4349.3291,25.1564,4264.5498,25.1574,1.0007,25.1574,7739.4419,25.1574,7734.0396,25.1595,1.0862,25.1595,884.0285,25.1595,813.8836,25.1605,1.0133,25.1605,1684.9216,25.1605,1662.7283,25.1615,0.9916,25.1615,2987.7100,25.1615,3012.9043
25.1765,1.0543,25.1765,1856.9539,25.1765,1761.3522,25.1753,1.0185,25.1753,4347.3896,25.1753,4268.4097,25.1741,1.0011,25.1741,7747.0630,25.1741,7738.7476,25.1716,1.0893,25.1716,886.2505,25.1716,813.6308,25.1704,1.0161,25.1704,1690.4871,25.1704,1663.7239,25.1692,0.9909,25.1692,2986.0698,25.1692,3013.4626
25.3058,1.0501,25.3058,1850.8953,25.3058,1762.6635,25.3072,1.0178,25.3072,4336.4902,25.3072,4260.5732,25.3086,1.0020,25.3086,7732.5532,25.3086,7716.7920,25.3115,1.0887,25.3115,885.3380,25.3115,813.2157,25.3130,1.0152,25.3130,1686.6945,25.3130,1661.4758,25.3144,0.9893,25.3144,2976.5059,25.3144,3008.5696
25.3364,1.0490,25.3364,1848.2906,25.3364,1761.9034,25.3348,1.0161,25.3348,4331.8979,25.3348,4263.2563,25.3332,1.0008,25.3332,7732.8491,25.3332,7726.4321,25.3300,1.0880,25.3300,885.8958,25.3300,814.2535,25.3284,1.0187,25.3284,1684.1444,25.3284,1653.1682,25.3268,0.9891,25.3268,2976.0693,25.3268,3008.7634
25.4978,1.0469,25.4978,1847.2281,25.4978,1764.4141,25.4996,1.0168,25.4996,4327.1006,25.4996,4255.7017,25.5013,1.0024,25.5013,7728.7378,25.5013,7710.4390,25.5048,1.0875,25.5048,881.8453,25.5048,810.9030,25.5065,1.0207,25.5065,1681.3416,25.5065,1647.2976,25.5083,0.9900,25.5083,2966.7634,25.5083,2996.6711
25.5347,1.0506,25.5347,1846.2952,25.5347,1757.3483,25.5329,1.0170,25.5329,4326.8022,25.5329,4254.5820,25.5310,1.0026,25.5310,7718.7905,25.5310,7699.1309,25.5274,1.0858,25.5274,879.3411,25.5274,809.8438,25.5256,1.0175,25.5256,1679.1217,25.5256,1650.2490,25.5238,0.9918,25.5238,2967.7141,25.5238,2992.1018
